Country,CountryCode,Year,SuicideRate,SuicideRateRange
Angola,AGO,2017,21.0,[13.2-31.9]
Brazil,BRA,2017,9.9,[9.2-17.9]
Algeria,DZA,2017,1.9,[1.0-3.1]
Albania,ALB,2017,5.7,[2.9-9.0]
Chile,CHL,2017,8.4,[7.0-9.9]
,WB_LMI,2017,7.0,[5.3-9.4]
Madagascar,MDG,2017,9.3,[5.5-14.9]
South Sudan,SSD,2017,6.4,[3.6-10.9]
Bangladesh,BGD,2017,5.7,[3.6-8.6]
Belize,BLZ,2017,7.7,[5.7-10.2]
Argentina,ARG,2017,8.7,[7.1-10.4]
Tonga,TON,2017,6.4,[4.0-10.0]
Croatia,HRV,2017,17.5,[13.8-21.8]
Azerbaijan,AZE,2017,3.9,[2.3-6.1]
Egypt,EGY,2017,4.7,[2.1-9.2]
Iran (Islamic Republic of),IRN,2017,8.6,[6.4-10.9]
Colombia,COL,2017,4.5,[3.4-10.4]
Saudi Arabia,SAU,2017,8.2,[5.0-12.6]
Philippines,PHL,2017,4.1,[3.0-9.4]
United States of America,USA,2017,22.5,[21.3-29.0]
Czechia,CZE,2017,18.2,[15.6-20.9]
Slovenia,SVN,2017,14.3,[11.0-18.2]
Türkiye,TUR,2017,3.4,[2.4-4.9]
Antigua and Barbuda,ATG,2017,0.0,[0.0-0.0]
Kiribati,KIR,2017,55.4,[35.2-81.1]
Botswana,BWA,2017,22.3,[12.0-37.9]
Tonga,TON,2017,4.8,[2.9-7.5]
Denmark,DNK,2017,4.8,[3.7-6.1]
Poland,POL,2017,2.7,[2.3-3.2]
Cameroon,CMR,2017,7.6,[4.1-12.8]
Philippines,PHL,2017,1.3,[1.0-9.4]
Gabon,GAB,2017,24.5,[14.3-39.1]
Guyana,GUY,2017,39.9,[27.5-63.3]
,AFR,2017,11.7,[7.1-18.2]
Austria,AUT,2017,17.5,[15.0-20.2]
United States of America,USA,2017,6.5,[6.1-9.6]
Venezuela (Bolivarian Republic of),VEN,2017,2.2,[1.5-3.2]
Belgium,BEL,2017,20.8,[17.8-24.0]
Cambodia,KHM,2017,5.6,[3.4-8.7]
Uganda,UGA,2017,3.6,[2.2-5.7]
Democratic Republic of the Congo,COD,2017,20.1,[12.2-31.5]
Zambia,ZMB,2017,6.6,[3.9-10.6]
Montenegro,MNE,2017,16.3,[11.2-23.2]
Switzerland,CHE,2017,5.9,[4.7-7.1]
Morocco,MAR,2017,5.0,[2.5-9.4]
Antigua and Barbuda,ATG,2017,0.0,[0.0-0.0]
Turkmenistan,TKM,2017,6.2,[4.6-8.3]
Malta,MLT,2017,7.7,[5.8-9.9]
Romania,ROU,2017,7.8,[6.6-9.3]
Lesotho,LSO,2017,96.3,[35.2-181.9]
El Salvador,SLV,2017,6.2,[3.9-13.3]
Maldives,MDV,2017,3.1,[2.0-4.6]
Chad,TCD,2017,20.9,[12.2-32.6]
Chad,TCD,2017,7.3,[4.0-13.0]
Democratic People's Republic of Korea,PRK,2017,6.7,[3.7-10.8]
Viet Nam,VNM,2017,4.2,[2.6-6.6]
Bhutan,BTN,2017,3.2,[1.8-5.1]
Cabo Verde,CPV,2017,5.3,[3.3-8.1]
Turkmenistan,TKM,2017,3.0,[2.2-4.1]
Afghanistan,AFG,2017,6.3,[3.7-10.7]
Mongolia,MNG,2017,32.9,[20.2-50.8]
Netherlands (Kingdom of the),NLD,2017,6.0,[4.9-7.2]
Mexico,MEX,2017,5.9,[5.5-6.3]
Slovakia,SVK,2017,17.2,[11.9-36.5]
Estonia,EST,2017,15.2,[11.4-19.7]
Vanuatu,VUT,2017,8.8,[4.6-14.5]
China,CHN,2017,5.0,[4.1-5.9]
Samoa,WSM,2017,14.8,[8.0-23.5]
South Africa,ZAF,2017,10.3,[5.1-17.8]
Hungary,HUN,2017,5.3,[4.3-6.4]
Bahrain,BHR,2017,6.7,[4.2-9.7]
Pakistan,PAK,2017,4.9,[3.2-7.2]
Congo,COG,2017,11.9,[7.1-18.8]
Zimbabwe,ZWE,2017,15.0,[8.5-24.3]
Australia,AUS,2017,11.8,[10.0-18.8]
Antigua and Barbuda,ATG,2017,0.0,[0.0-0.0]
Lao People's Democratic Republic,LAO,2017,3.6,[2.0-5.8]
,WB_UMI,2017,4.2,[3.4-5.5]
Belize,BLZ,2017,1.7,[1.2-2.3]
Guinea,GIN,2017,12.5,[6.8-20.7]
Sierra Leone,SLE,2017,14.4,[7.8-24.2]
Guyana,GUY,2017,63.9,[44.7-102.8]
Brunei Darussalam,BRN,2017,1.0,[0.6-1.4]
Japan,JPN,2017,19.4,[18.7-20.1]
Republic of Korea,KOR,2017,19.3,[11.1-27.4]
Angola,AGO,2017,12.4,[7.6-18.9]
Denmark,DNK,2017,11.9,[9.7-14.4]
Iraq,IRQ,2017,7.8,[4.6-12.2]
Russian Federation,RUS,2017,8.0,[7.6-8.8]
Uruguay,URY,2017,18.5,[15.2-22.1]
Spain,ESP,2017,5.8,[4.8-6.9]
Bahamas,BHS,2017,1.0,[0.7-1.4]
Argentina,ARG,2017,3.6,[2.9-4.4]
Poland,POL,2017,19.7,[17.1-22.6]
Niger,NER,2017,10.2,[5.3-17.8]
Iceland,ISL,2017,11.7,[9.3-14.2]
Bosnia and Herzegovina,BIH,2017,3.5,[2.4-4.8]
Timor-Leste,TLS,2017,6.5,[2.3-11.3]
Afghanistan,AFG,2017,6.0,[3.4-9.9]
Bahamas,BHS,2017,3.3,[2.3-4.6]
Sao Tome and Principe,STP,2017,3.3,[1.7-5.4]
Viet Nam,VNM,2017,11.1,[5.7-17.2]
Eswatini,SWZ,2017,83.6,[40.8-142.1]
Bahrain,BHR,2017,9.3,[5.7-13.3]
Venezuela (Bolivarian Republic of),VEN,2017,0.8,[0.5-1.1]
Belarus,BLR,2017,33.8,[25.5-44.6]
North Macedonia,MKD,2017,3.5,[2.5-5.0]
Kazakhstan,KAZ,2017,36.6,[30.1-43.8]
,GLOBAL,2017,12.9,[9.7-17.3]
Jordan,JOR,2017,2.8,[1.9-4.1]
Senegal,SEN,2017,5.4,[3.3-8.5]
Namibia,NAM,2017,15.2,[8.7-25.3]
Georgia,GEO,2017,14.7,[10.7-19.5]
Thailand,THA,2017,7.5,[5.0-10.5]
Peru,PER,2017,1.4,[0.8-2.2]
Libya,LBY,2017,7.7,[4.5-12.7]
Norway,NOR,2017,6.6,[6.0-7.3]
Sao Tome and Principe,STP,2017,1.2,[0.7-1.9]
,WPR,2017,5.0,[4.1-6.7]
Comoros,COM,2017,5.9,[3.4-9.4]
Lithuania,LTU,2017,8.1,[6.4-10.0]
Burkina Faso,BFA,2017,25.3,[15.7-38.4]
Armenia,ARM,2017,2.4,[1.9-3.1]
Romania,ROU,2017,2.5,[2.0-3.0]
,WB_LI,2017,10.0,[5.9-16.0]
Cameroon,CMR,2017,16.1,[9.4-25.6]
Germany,DEU,2017,3.9,[3.2-4.7]
Guatemala,GTM,2017,6.0,[4.5-7.9]
Gambia,GMB,2017,9.8,[5.3-16.8]
Djibouti,DJI,2017,16.8,[8.1-30.3]
Israel,ISR,2017,7.8,[6.4-9.5]
Peru,PER,2017,4.1,[2.4-6.2]
Solomon Islands,SLB,2017,2.5,[1.4-3.9]
Germany,DEU,2017,8.3,[7.0-9.8]
Hungary,HUN,2017,21.1,[18.0-24.6]
,WPR,2017,10.0,[7.6-13.5]
India,IND,2017,12.5,[9.2-15.4]
Haiti,HTI,2017,8.3,[4.6-13.7]
Suriname,SUR,2017,11.7,[7.7-16.8]
Uganda,UGA,2017,10.3,[6.4-16.2]
Paraguay,PRY,2017,6.1,[3.6-8.6]
Vanuatu,VUT,2017,21.1,[11.0-33.6]
Finland,FIN,2017,14.4,[12.0-17.0]
Cote d'Ivoire,CIV,2017,26.8,[16.2-41.6]
Israel,ISR,2017,5.0,[4.0-6.1]
Maldives,MDV,2017,0.8,[0.5-1.3]
Eswatini,SWZ,2017,42.9,[20.9-73.5]
Micronesia (Federated States of),FSM,2017,44.1,[17.6-69.9]
Libya,LBY,2017,5.5,[3.1-9.0]
Yemen,YEM,2017,8.7,[4.4-14.8]
Bhutan,BTN,2017,5.1,[2.8-8.7]
Saudi Arabia,SAU,2017,2.1,[1.2-3.3]
United Kingdom of Great Britain and Northern Ireland,GBR,2017,3.5,[3.3-3.7]
Slovakia,SVK,2017,9.6,[6.6-19.7]
Iceland,ISL,2017,2.3,[1.7-3.0]
Morocco,MAR,2017,7.3,[3.4-13.3]
Gabon,GAB,2017,13.8,[8.1-22.2]
New Zealand,NZL,2017,6.3,[5.2-7.5]
,EUR,2017,18.6,[16.2-21.8]
Eritrea,ERI,2017,8.6,[4.8-14.3]
Gabon,GAB,2017,4.1,[2.4-6.6]
Switzerland,CHE,2017,10.4,[8.6-12.3]
Serbia,SRB,2017,0.3,[0.2-0.3]
Brunei Darussalam,BRN,2017,3.3,[2.1-4.6]
Kuwait,KWT,2017,3.6,[2.7-4.8]
Uruguay,URY,2017,30.8,[25.6-36.5]
Malawi,MWI,2017,21.9,[14.1-32.4]
Nicaragua,NIC,2017,7.7,[5.5-10.3]
Vanuatu,VUT,2017,33.5,[17.5-53.0]
Iraq,IRQ,2017,5.2,[3.1-8.1]
,WB_HI,2017,5.4,[4.8-7.2]
Honduras,HND,2017,1.0,[0.6-1.8]
Nigeria,NGA,2017,10.4,[6.2-18.1]
Dominican Republic,DOM,2017,6.0,[3.6-9.5]
Armenia,ARM,2017,4.7,[3.7-6.0]
Kiribati,KIR,2017,31.5,[19.8-46.7]
Botswana,BWA,2017,9.2,[4.6-16.2]
Jamaica,JAM,2017,3.5,[2.4-4.8]
Luxembourg,LUX,2017,4.5,[3.3-5.8]
Czechia,CZE,2017,11.2,[9.5-13.0]
China,CHN,2017,6.9,[5.5-8.8]
Guinea-Bissau,GNB,2017,21.0,[11.6-33.9]
Chad,TCD,2017,13.8,[7.9-22.4]
,WB_HI,2017,11.3,[9.8-14.4]
Belarus,BLR,2017,5.7,[4.2-7.7]
Burkina Faso,BFA,2017,6.7,[4.0-10.6]
Syrian Arab Republic,SYR,2017,2.0,[1.2-3.0]
Kenya,KEN,2017,10.6,[7.6-14.8]
Barbados,BRB,2017,0.2,[0.1-0.2]
Uzbekistan,UZB,2017,8.9,[7.1-10.9]
,WB_UMI,2017,11.2,[9.0-15.0]
Kyrgyzstan,KGZ,2017,15.1,[12.4-18.4]
Democratic People's Republic of Korea,PRK,2017,8.7,[4.9-14.6]
Kyrgyzstan,KGZ,2017,3.8,[3.0-4.8]
Nigeria,NGA,2017,7.1,[4.0-12.0]
Iran (Islamic Republic of),IRN,2017,3.0,[2.7-3.3]
Netherlands (Kingdom of the),NLD,2017,13.2,[11.2-15.4]
,AFR,2017,5.4,[3.1-8.7]
Saint Lucia,LCA,2017,1.5,[1.1-2.1]
Uzbekistan,UZB,2017,12.8,[10.3-15.6]
Kiribati,KIR,2017,9.7,[5.6-15.3]
Paraguay,PRY,2017,8.8,[4.9-12.4]
Central African Republic,CAF,2017,9.6,[5.3-16.1]
Kuwait,KWT,2017,0.7,[0.5-1.0]
Norway,NOR,2017,10.4,[9.5-11.3]
Netherlands (Kingdom of the),NLD,2017,9.6,[8.1-11.3]
South Sudan,SSD,2017,3.3,[1.8-5.6]
Ghana,GHA,2017,11.3,[7.0-17.0]
Uganda,UGA,2017,19.3,[12.1-30.4]
Cuba,CUB,2017,17.0,[14.2-35.7]
,AFR,2017,18.7,[11.5-28.9]
Japan,JPN,2017,13.5,[12.9-14.0]
Albania,ALB,2017,2.5,[1.6-3.7]
Estonia,EST,2017,6.3,[4.5-8.5]
Sri Lanka,LKA,2017,6.4,[4.3-9.1]
Grenada,GRD,2017,0.7,[0.5-0.9]
Central African Republic,CAF,2017,44.9,[24.8-73.2]
Bolivia (Plurinational State of),BOL,2017,10.0,[5.4-15.9]
Malaysia,MYS,2017,5.6,[3.6-8.4]
Republic of Korea,KOR,2017,28.3,[12.9-42.7]
Sweden,SWE,2017,17.2,[15.0-19.6]
Ghana,GHA,2017,21.4,[13.4-32.0]
Finland,FIN,2017,8.0,[6.6-9.7]
Indonesia,IDN,2017,2.6,[1.9-3.5]
France,FRA,2017,4.9,[4.0-9.3]
Sri Lanka,LKA,2017,22.2,[14.7-37.3]
Afghanistan,AFG,2017,5.5,[3.1-9.0]
Iceland,ISL,2017,20.8,[16.8-25.1]
Fiji,FJI,2017,13.7,[8.8-20.2]
Zambia,ZMB,2017,29.1,[18.4-43.7]
Philippines,PHL,2017,2.6,[2.0-9.3]
Indonesia,IDN,2017,4.0,[2.8-5.6]
Kyrgyzstan,KGZ,2017,9.2,[7.5-11.3]
Haiti,HTI,2017,11.4,[5.9-18.9]
Honduras,HND,2017,2.7,[1.4-5.3]
Lao People's Democratic Republic,LAO,2017,6.2,[3.4-10.0]
Somalia,SOM,2017,7.2,[3.9-12.3]
Cyprus,CYP,2017,5.7,[3.5-7.8]
Italy,ITA,2017,7.7,[7.1-8.3]
Equatorial Guinea,GNQ,2017,17.9,[9.9-31.7]
Lithuania,LTU,2017,41.1,[34.8-48.0]
Togo,TGO,2017,6.7,[3.8-11.1]
,WPR,2017,7.4,[5.8-10.0]
Rwanda,RWA,2017,5.2,[3.0-8.3]
Tajikistan,TJK,2017,5.3,[3.3-7.7]
Azerbaijan,AZE,2017,6.5,[3.8-10.0]
Eritrea,ERI,2017,28.4,[15.4-46.6]
Montenegro,MNE,2017,25.3,[17.3-36.5]
Kazakhstan,KAZ,2017,21.2,[17.4-25.4]
Equatorial Guinea,GNQ,2017,13.2,[7.0-23.6]
Mongolia,MNG,2017,19.1,[11.7-29.3]
Papua New Guinea,PNG,2017,5.1,[2.9-9.2]
Albania,ALB,2017,4.1,[2.3-6.3]
Guatemala,GTM,2017,2.7,[2.0-3.5]
Costa Rica,CRI,2017,9.4,[7.2-32.7]
Colombia,COL,2017,7.4,[5.6-18.5]
Chile,CHL,2017,14.1,[12.0-16.6]
South Africa,ZAF,2017,25.8,[16.6-37.5]
Burkina Faso,BFA,2017,14.8,[9.1-22.8]
Pakistan,PAK,2017,10.0,[4.9-18.1]
El Salvador,SLV,2017,11.1,[7.1-24.7]
Nepal,NPL,2017,9.6,[5.2-15.0]
United Kingdom of Great Britain and Northern Ireland,GBR,2017,7.2,[6.9-7.6]
Eritrea,ERI,2017,18.0,[9.9-29.7]
Algeria,DZA,2017,3.2,[1.7-5.6]
Guyana,GUY,2017,16.3,[10.6-24.0]
Latvia,LVA,2017,17.1,[13.0-22.1]
Ecuador,ECU,2017,9.3,[5.3-12.1]
Venezuela (Bolivarian Republic of),VEN,2017,3.9,[2.6-5.4]
Central African Republic,CAF,2017,25.7,[14.1-42.3]
South Sudan,SSD,2017,9.9,[5.5-16.8]
Saint Lucia,LCA,2017,12.9,[9.4-17.2]
Belize,BLZ,2017,13.9,[10.3-18.3]
Malaysia,MYS,2017,2.4,[1.6-3.5]
Ethiopia,ETH,2017,9.6,[6.8-13.6]
Switzerland,CHE,2017,15.0,[12.7-17.6]
Togo,TGO,2017,15.4,[9.1-24.1]
Cabo Verde,CPV,2017,27.8,[17.5-40.6]
Bosnia and Herzegovina,BIH,2017,8.1,[5.2-10.9]
Suriname,SUR,2017,25.4,[17.7-34.9]
Croatia,HRV,2017,5.0,[3.8-6.6]
United Arab Emirates,ARE,2017,5.7,[3.2-9.0]
Seychelles,SYC,2017,14.3,[9.6-20.1]
Democratic Republic of the Congo,COD,2017,4.9,[2.9-7.8]
Lesotho,LSO,2017,35.8,[13.9-84.6]
Panama,PAN,2017,5.6,[4.1-7.3]
